pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method
1.27.27.1,1,27,27,1,19.38,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.27.27.2,1,27,27,2,7.79,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.27.27.3,1,27,27,3,5.98,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.27.27.4,1,27,27,4,11.33,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.27.27.5,1,27,27,5,32.06,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.27.27.6,1,27,27,6,17.71,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.27.27.7,1,27,27,7,5.76,427873.4,5886285.2,4,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.28.28.1,1,28,28,1,8.08,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.28.28.2,1,28,28,2,3.59,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.28.28.3,1,28,28,3,5.02,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.28.28.4,1,28,28,4,15.76,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.28.28.5,1,28,28,5,34.79,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.28.28.6,1,28,28,6,25.93,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.28.28.7,1,28,28,7,6.82,428064.7,5886199.6,4,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.29.29.1,1,29,29,1,6.71,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.29.29.2,1,29,29,2,1.96,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.29.29.3,1,29,29,3,7.12,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.29.29.4,1,29,29,4,14.02,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.29.29.5,1,29,29,5,45.75,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.29.29.6,1,29,29,6,20.3,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.29.29.7,1,29,29,7,4.14,428158.1,5886100.1,4,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.30.30.1,1,30,30,1,7.44,428209.3,5886315.5,4,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.30.30.2,1,30,30,2,4.99,428209.3,5886315.5,4,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.30.30.3,1,30,30,3,5.68,428209.3,5886315.5,4,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.30.30.4,1,30,30,4,16.48,428209.3,5886315.5,4,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
