point_ID,X,Y,field_ID
585,421815.3,5886129.8,45
586,422094.9,5886374,45
587,427289.7,5885150,46
588,427291.7,5885178.5,46
589,427307.8,5885190.9,46
590,427311.2,5885240.4,46
591,427314.5,5885301.4,46
592,427319,5885154,46
593,427331,5885135,46
594,427348,5885205,46
595,427351,5885245,46
596,427351,5885292,46
597,427353,5885148,46
598,427364,5885130,46
599,427368,5885193,46
600,427372,5885240,46
601,427374,5885175,46
602,427397.5,5885126.2,46
603,427398.5,5885153,46
604,427409.4,5885198.8,46
605,427416.3,5885276.9,46
606,427426,5885250.9,46
607,427433.9,5885120.5,46
608,427447.5,5885157.5,46
609,427452,5885249.3,46
610,427460.5,5885226.8,46
611,427463.9,5885258.6,46
