pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.232.232.10,1,232,232,10,1.02,427113.4,5884764.4,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.233.233.9,1,233,233,9,0.92,427127.7,5884590.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.233.233.10,1,233,233,10,0.93,427127.7,5884590.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.235.235.9,1,235,235,9,1.09,427182.6,5884690.4,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.235.235.10,1,235,235,10,1.1,427182.6,5884690.4,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.236.236.9,1,236,236,9,0.79,427228.6,5884571.9,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.236.236.10,1,236,236,10,0.8,427228.6,5884571.9,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.237.237.9,1,237,237,9,0.94,427250.0,5884507.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.237.237.10,1,237,237,10,0.97,427250.0,5884507.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.245.245.9,1,245,245,9,0.79,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.245.245.10,1,245,245,10,0.84,426029.7,5885165.9,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.246.246.9,1,246,246,9,0.91,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.246.246.10,1,246,246,10,0.92,426038.4,5885271.3,24,5,2018-08-01,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,3
1.247.247.9,1,247,247,9,0.94,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.247.247.10,1,247,247,10,0.95,426061.3,5885121.5,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.248.248.9,1,248,248,9,0.63,426061.7,5885036.6,24,5,2018-08-01,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.248.248.10,1,248,248,10,0.65,426061.7,5885036.6,24,5,2018-08-01,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,3
1.249.249.9,1,249,249,9,0.88,426067.5,5885207.1,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.249.249.10,1,249,249,10,0.95,426067.5,5885207.1,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.250.250.9,1,250,250,9,1.14,426070.1,5885427.3,24,5,2018-08-01,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.250.250.10,1,250,250,10,1.16,426070.1,5885427.3,24,5,2018-08-01,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,3
1.252.252.9,1,252,252,9,0.55,426094.1,5884917.1,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.252.252.10,1,252,252,10,0.65,426094.1,5884917.1,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.253.253.9,1,253,253,9,0.74,426095.7,5885175.7,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.253.253.10,1,253,253,10,0.78,426095.7,5885175.7,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.256.256.9,1,256,256,9,0.7,426128.4,5885028.6,24,2,2017-10-17,2017-11-15,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.256.256.10,1,256,256,10,0.76,426128.4,5885028.6,24,2,2017-10-17,2017-11-15,Total carbon,TC,M%,DIN ISO 10694,3
1.258.258.9,1,258,258,9,0.61,426129.3,5885018.7,24,5,2018-08-01,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,3
1.258.258.10,1,258,258,10,0.62,426129.3,5885018.7,24,5,2018-08-01,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,3
